temperature_2m_min,temperature_2m_max,precipitation_sum,snowfall_sum,rain_sum,wind_speed_10m_max,relative_humidity_2m_mean,soil_temperature_0_to_7cm_mean,평수,실평수,진열평수,창고,계약면적(㎡),매장인원,입고도우미PO,일평균매출,일평균물동량,형태,매장명,지역,위도,경도,매장,발생일시,incident_id,label
23.8,28.7,0.0,0.0,0.0,19.6,91,26.1,452.0,420.0,391.0,32.0,2090.1,15.6,0.8,23684982.14285714,474.0,직영점,인천운서동점,남인천팀,37.4948,126.4931,10857.0,2025-07-03,NEG-10857.0-2025-07-03,0
9.2,17.9,0.0,0.0,0.0,14.4,84,14.1,452.0,420.0,391.0,32.0,2090.1,15.6,0.8,23684982.14285714,474.0,직영점,인천운서동점,남인천팀,37.4948,126.4931,10857.0,2025-05-11,NEG-10857.0-2025-05-11,0
15.4,22.6,0.1,0.0,0.1,8.2,86,19.3,452.0,420.0,391.0,32.0,2090.1,15.6,0.8,23684982.14285714,474.0,직영점,인천운서동점,남인천팀,37.4948,126.4931,10857.0,2025-09-30,NEG-10857.0-2025-09-30,0
23.7,34.9,0.2,0.0,0.2,7.9,71,32.4,301.0,286.0,264.0,15.0,1117.41,13.0,0.4,14798553.57142857,296.0,직영점,광주전남대점,전남팀,35.1729,126.9109,10860.0,2025-08-21,NEG-10860.0-2025-08-21,0
22.0,30.9,65.9,0.0,65.9,16.5,85,25.6,301.0,286.0,264.0,15.0,1117.41,13.0,0.4,14798553.57142857,296.0,직영점,광주전남대점,전남팀,35.1729,126.9109,10860.0,2025-08-10,NEG-10860.0-2025-08-10,0
19.7,24.6,24.8,0.0,24.8,8.5,90,23.7,301.0,286.0,264.0,15.0,1117.41,13.0,0.4,14798553.57142857,296.0,직영점,광주전남대점,전남팀,35.1729,126.9109,10860.0,2025-09-08,NEG-10860.0-2025-09-08,0
23.9,36.8,0.0,0.0,0.0,14.1,62,34.3,296.0,275.0,255.0,21.0,1239.6,5.1,0.4,6646964.285714285,133.0,직영점,포항죽파로점,울산팀,36.0277,129.3616,10862.0,2025-08-18,NEG-10862.0-2025-08-18,0
23.2,28.2,1.9,0.0,1.9,28.5,75,28.5,296.0,275.0,255.0,21.0,1239.6,5.1,0.4,6646964.285714285,133.0,직영점,포항죽파로점,울산팀,36.0277,129.3616,10862.0,2025-07-11,NEG-10862.0-2025-07-11,0
19.2,29.1,2.1,0.0,2.1,10.2,82,24.6,296.0,275.0,255.0,21.0,1239.6,5.1,0.4,6646964.285714285,133.0,직영점,포항죽파로점,울산팀,36.0277,129.3616,10862.0,2025-06-15,NEG-10862.0-2025-06-15,0
-1.4,10.4,2.3,1.33,0.4,22.8,74,3.8,550.0,504.0,482.0,46.0,4207.6,19.6,1.6,23377892.85714286,468.0,직영점,세종본점,충북팀,36.5111,127.241,10872.0,2024-03-03,NEG-10872.0-2024-03-03,0
-2.0,12.6,7.7,0.0,7.7,15.6,82,2.9,550.0,504.0,482.0,46.0,4207.6,19.6,1.6,23377892.85714286,468.0,직영점,세종본점,충북팀,36.5111,127.241,10872.0,2024-02-18,NEG-10872.0-2024-02-18,0
8.9,24.4,0.0,0.0,0.0,17.1,57,17.8,550.0,504.0,482.0,46.0,4207.6,19.6,1.6,23377892.85714286,468.0,직영점,세종본점,충북팀,36.5111,127.241,10872.0,2024-05-02,NEG-10872.0-2024-05-02,0
6.7,13.8,9.5,0.0,9.5,14.6,68,13.3,315.0,287.0,258.0,28.0,1068.79,11.3,0.5,14299767.857142856,286.0,직영점,인천주안역점,남인천팀,37.4644,126.6814,10877.0,2026-04-05,NEG-10877.0-2026-04-05,0
